CURRENT_SAC_END_X	CURRENT_SAC_END_Y	RECORDING_SESSION_LABEL	CURRENT_SAC_AMPLITUDE	CURRENT_SAC_AVG_VELOCITY	CURRENT_SAC_DIRECTION	CURRENT_SAC_DURATION	CURRENT_SAC_PEAK_VELOCITY	CURRENT_SAC_START_TIME	CURRENT_SAC_START_X	CURRENT_SAC_START_Y	DATA_FILE	target_direction	words	target_eccentricity	target_loc
268.8	362.2	belinda	9.485705	215.58421	LEFT	44	382.4	1242	509.5	353.2	belinda.edf	Left	honey	10	(292, 384)
278.1	371.7	belinda	9.020846	205.01924	LEFT	44	381.2	1135	506.3	368.7	belinda.edf	Left	kitchen	10	(292, 384)
500.2	375.1	belinda	0.22808965	28.511206	.	8	41.3	902	506.1	374.6	belinda.edf	Left	toddler	5	(402, 384)
397.1	376.7	belinda	4.2463455	132.6983	LEFT	32	273.5	1138	505.8	377.7	belinda.edf	Left	toddler	5	(402, 384)
632.9	396.0	belinda	4.1971264	131.1602	RIGHT	32	257.5	1160	520.6	401.3	belinda.edf	Right	acorn	5	(622, 384)
605.1	375.0	belinda	3.7717235	134.7044	RIGHT	28	245.3	1148	506.2	387.0	belinda.edf	Right	precise	5	(622, 384)
410.6	400.9	belinda	4.081753	127.55477	LEFT	32	238.8	1137	515.5	400.5	belinda.edf	Left	nudge	5	(402, 384)
298.3	390.5	belinda	8.431682	210.79204	LEFT	40	374.8	1128	512.0	394.2	belinda.edf	Left	plutonium	10	(292, 384)
512.6	390.7	belinda	0.47799888	39.83324	.	12	61.5	512	507.4	381.2	belinda.edf	Left	three	10	(292, 384)
302.8	441.0	belinda	8.729969	218.24922	LEFT	40	415.5	1148	526.2	435.6	belinda.edf	Left	three	10	(292, 384)
749.3	382.8	belinda	8.599758	214.99394	RIGHT	40	365.4	1140	515.0	386.5	belinda.edf	Right	safeguard	10	(732, 384)
594.4	373.1	belinda	3.3967795	121.31355	RIGHT	28	227.8	1152	505.6	374.9	belinda.edf	Right	greet	5	(622, 384)
617.7	356.9	belinda	4.1458044	148.06444	RIGHT	28	267.1	1152	510.7	376.0	belinda.edf	Right	cottage	5	(622, 384)
392.4	371.3	belinda	4.852868	134.8019	LEFT	36	272.2	1137	515.7	365.2	belinda.edf	Left	lyric	5	(402, 384)
622.0	374.7	belinda	4.417627	138.05084	RIGHT	32	259.8	1156	506.1	383.8	belinda.edf	Right	regulated	5	(622, 384)
325.2	415.9	belinda	7.491485	187.28714	LEFT	40	340.1	1133	515.0	410.3	belinda.edf	Left	motorbike	10	(292, 384)
310.4	406.9	belinda	7.9808216	199.52054	LEFT	40	365.6	1121	511.9	404.7	belinda.edf	Left	blessed	10	(292, 384)
724.9	359.3	belinda	8.061101	201.52753	RIGHT	40	371.1	1136	507.0	372.0	belinda.edf	Right	caged	10	(732, 384)
494.1	364.5	belinda	2.0756443	10.3782215	UP	200	252.7	533	506.6	408.6	belinda.edf	Right	flute	10	(732, 384)
756.6	388.4	belinda	8.945478	203.30634	RIGHT	44	399.7	1141	512.6	407.5	belinda.edf	Right	objection	10	(732, 384)
397.6	418.4	belinda	4.598233	143.6948	LEFT	32	251.0	1131	514.7	410.2	belinda.edf	Left	abdominal	5	(402, 384)
509.0	375.8	belinda	0.52682936	2.5328333	UP	208	336.6	321	509.6	387.3	belinda.edf	Left	saffron	5	(402, 384)
401.3	403.0	belinda	4.3604455	136.26392	LEFT	32	242.5	1141	512.3	397.4	belinda.edf	Left	saffron	5	(402, 384)
514.4	359.7	belinda	1.1805099	2.3238385	UP	508	331.7	98	511.8	385.4	belinda.edf	Right	abandon	10	(732, 384)
518.2	373.9	belinda	1.5898185	79.49092	DOWN	20	209.8	630	511.1	340.0	belinda.edf	Right	abandon	10	(732, 384)
732.7	371.5	belinda	8.049007	223.58354	RIGHT	36	406.4	1146	514.7	384.0	belinda.edf	Right	abandon	10	(732, 384)
718.9	359.2	belinda	8.056052	201.4013	RIGHT	40	372.4	1137	501.5	365.0	belinda.edf	Right	rainbow	10	(732, 384)
507.8	377.2	belinda	0.636089	9.354251	UP	68	135.7	296	508.8	391.2	belinda.edf	Left	waistcoat	5	(402, 384)
512.9	374.9	belinda	0.11017024	13.771279	.	8	67.7	400	512.5	372.5	belinda.edf	Left	waistcoat	5	(402, 384)
395.5	390.3	belinda	4.6726995	129.7972	LEFT	36	258.5	1132	515.3	393.4	belinda.edf	Left	waistcoat	5	(402, 384)
612.8	371.0	belinda	4.0870757	145.967	RIGHT	28	280.3	1137	505.8	383.9	belinda.edf	Right	notifying	5	(622, 384)
280.8	383.3	belinda	9.134872	207.61073	LEFT	44	396.2	1129	514.6	379.1	belinda.edf	Left	faculties	10	(292, 384)
376.4	367.7	belinda	4.8836274	152.61336	LEFT	32	288.8	1146	502.6	370.4	belinda.edf	Left	stone	5	(402, 384)
515.4	386.1	belinda	0.476562	29.785124	.	16	49.7	785	517.6	396.4	belinda.edf	Right	acidity	5	(622, 384)
620.6	372.3	belinda	3.7730618	134.75221	RIGHT	28	238.6	1157	519.8	382.0	belinda.edf	Right	acidity	5	(622, 384)
718.6	381.6	belinda	7.981158	199.52895	RIGHT	40	374.0	1140	500.8	376.6	belinda.edf	Right	caretaker	10	(732, 384)
621.4	367.3	belinda	3.8135483	136.19815	RIGHT	28	241.8	1141	520.0	376.5	belinda.edf	Right	daffodils	5	(622, 384)
514.2	374.3	belinda	0.35449123	29.540937	.	12	44.4	446	518.0	381.4	belinda.edf	Left	fluff	10	(292, 384)
298.8	374.5	belinda	8.5287075	213.21768	LEFT	40	397.5	1142	515.6	365.5	belinda.edf	Left	fluff	10	(292, 384)
277.8	383.9	belinda	9.189053	191.4386	LEFT	48	368.8	1162	511.6	379.3	belinda.edf	Left	foxtrot	10	(292, 384)
303.0	385.3	belinda	8.202948	227.85965	LEFT	36	404.2	1154	512.0	378.0	belinda.edf	Left	welfare	10	(292, 384)
608.1	364.2	belinda	3.6342437	129.79442	RIGHT	28	231.4	1158	511.9	372.1	belinda.edf	Right	chart	5	(622, 384)
382.6	375.6	belinda	4.963134	137.86482	LEFT	36	284.5	1145	509.9	376.5	belinda.edf	Left	octopus	5	(402, 384)
515.0	358.5	belinda	1.6844414	42.111034	UP	40	69.3	602	522.3	394.8	belinda.edf	Right	major	10	(732, 384)
512.5	369.6	belinda	0.25640687	32.050858	.	8	42.2	874	512.3	364.0	belinda.edf	Right	major	10	(732, 384)
714.8	376.5	belinda	7.299497	182.48743	RIGHT	40	321.1	1146	515.3	388.1	belinda.edf	Right	major	10	(732, 384)
744.6	378.4	belinda	8.164417	226.78937	RIGHT	36	376.4	1147	520.2	391.0	belinda.edf	Right	actor	10	(732, 384)
618.1	384.2	belinda	3.6594265	114.35708	RIGHT	32	249.6	1241	521.9	397.6	belinda.edf	Right	sociology	5	(622, 384)
397.2	372.4	belinda	4.481869	140.05841	LEFT	32	277.7	1246	511.7	371.0	belinda.edf	Left	shorter	5	(402, 384)
407.9	400.7	belinda	4.603203	143.85008	LEFT	32	291.7	1166	526.6	393.6	belinda.edf	Left	exemption	5	(402, 384)
516.0	388.3	belinda	0.42637888	26.64868	.	16	53.8	674	518.6	397.4	belinda.edf	Left	stare	10	(292, 384)
516.6	393.1	belinda	0.1400562	17.507025	.	8	46.2	730	515.8	390.1	belinda.edf	Left	stare	10	(292, 384)
519.0	395.7	belinda	0.24263227	30.329033	.	8	50.6	794	522.4	400.2	belinda.edf	Left	stare	10	(292, 384)
